Date : 2024-10-16 09:04:09
Directory : e:\ECIC6\frontend\emss-ui-admin-vue3\src
Total : 1536 files,  281763 codes, 8803 comments, 12883 blanks, all 303449 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| views\phm\bizPatient\sign                                                                                                          |          1 |         54 |          0 |          3 |         57 |
| views\phm\bizPatient\signPlayback                                                                                                  |          1 |         71 |          0 |          3 |         74 |
| views\phm\bizPatient\triage                                                                                                        |          2 |        340 |          2 |          4 |        346 |
| views\phm\bizPatient\videoMonitor                                                                                                  |          1 |        107 |          0 |          8 |        115 |
| views\phm\bizPatient\videoPlayback                                                                                                 |          1 |        188 |          0 |         12 |        200 |
| views\phm\bizPatient\write                                                                                                         |         19 |      4,571 |         92 |        264 |      4,927 |
| views\phm\bizPatient\write (Files)                                                                                                 |          2 |        247 |          2 |         19 |        268 |
| views\phm\bizPatient\write\components                                                                                              |         17 |      4,324 |         90 |        245 |      4,659 |
| views\phm\bizPrintCode                                                                                                             |          3 |        482 |         21 |         24 |        527 |
| views\phm\bizRequest                                                                                                               |          2 |        363 |        135 |         12 |        510 |
| views\phm\bizTask                                                                                                                  |          5 |      2,698 |        275 |        113 |      3,086 |
| views\phm\bizTask (Files)                                                                                                          |          3 |      2,503 |        275 |        108 |      2,886 |
| views\phm\bizTaskAmbulance                                                                                                         |          7 |      1,703 |         63 |         70 |      1,836 |
| views\phm\bizTaskAmbulance (Files)                                                                                                 |          3 |        537 |         23 |         30 |        590 |
| views\phm\bizTaskAmbulance\components                                                                                              |          4 |      1,166 |         40 |         40 |      1,246 |
| views\phm\bizTaskListView                                                                                                          |          2 |        270 |         23 |          8 |        301 |
| views\phm\bizTaskQuery                                                                                                             |          2 |        275 |          8 |         13 |        296 |
| views\phm\bizTask\components                                                                                                       |          2 |        195 |          0 |          5 |        200 |
| views\phm\bizTastExitnspection                                                                                                     |          2 |        469 |          8 |         12 |        489 |
| views\phm\bizTastWristband                                                                                                         |          1 |        169 |          0 |         20 |        189 |
| views\phm\bizTransitPatients                                                                                                       |          7 |      2,111 |         45 |        165 |      2,321 |
| views\phm\bizTransitPatients (Files)                                                                                               |          2 |      1,623 |         41 |        114 |      1,778 |
| views\phm\bizTransitPatients\components                                                                                            |          5 |        488 |          4 |         51 |        543 |
| views\phm\bizValuation                                                                                                             |          8 |      3,117 |         23 |        140 |      3,280 |
| views\phm\bizValuation (Files)                                                                                                     |          2 |        381 |          1 |         20 |        402 |
| views\phm\bizValuation\components                                                                                                  |          6 |      2,736 |         22 |        120 |      2,878 |
| views\phm\bizValuation\components\item                                                                                             |          1 |        161 |          2 |          9 |        172 |
| views\phm\bizValuation\components\part                                                                                             |          3 |      1,918 |          4 |         51 |      1,973 |
| views\phm\bizValuation\components\part (Files)                                                                                     |          1 |        334 |          1 |         16 |        351 |
| views\phm\bizValuation\components\part\components                                                                                  |          2 |      1,584 |          3 |         35 |      1,622 |
| views\phm\bizValuation\components\score                                                                                            |          1 |        540 |          6 |         48 |        594 |
| views\phm\bizValuation\components\treat                                                                                            |          1 |        117 |         10 |         12 |        139 |
| views\phm\dicEmergencyType                                                                                                         |          2 |        367 |          8 |         19 |        394 |
| views\phm\dicEmsBeacon                                                                                                             |          2 |        334 |          8 |         14 |        356 |
| views\phm\dicEmsDevice                                                                                                             |          3 |        531 |         11 |         20 |        562 |
| views\phm\dicKnowledgeBase                                                                                                         |          2 |        298 |          8 |         14 |        320 |
| views\phm\dicParser                                                                                                                |          2 |        471 |         46 |         23 |        540 |
| views\phm\dicPatientBase                                                                                                           |          2 |        459 |         21 |         15 |        495 |
| views\phm\dicPatientExtinfo                                                                                                        |          2 |        685 |         18 |         14 |        717 |
| views\phm\dicPatientValuation                                                                                                      |          2 |        526 |         17 |         20 |        563 |
| views\phm\dicTaskTime                                                                                                              |          2 |        521 |         24 |         19 |        564 |
| views\phm\dicTemplates                                                                                                             |          2 |        460 |         76 |         18 |        554 |
| views\phm\dicTemplatesType                                                                                                         |          2 |        308 |         18 |         17 |        343 |
| views\phm\mdtChatRecord                                                                                                            |          2 |        426 |          8 |         14 |        448 |
| views\phm\mdtGroupMember                                                                                                           |          2 |        486 |          8 |         14 |        508 |
| views\phm\mdtGroupPeopleManagement                                                                                                 |          2 |        434 |          3 |         19 |        456 |
| views\pregnant                                                                                                                     |         12 |      3,012 |         39 |        109 |      3,160 |
| views\pregnant\QualityControlIndex                                                                                                 |          1 |        116 |          4 |          4 |        124 |
| views\pregnant\component                                                                                                           |          6 |        858 |          0 |         22 |        880 |
| views\pregnant\disease                                                                                                             |          1 |        324 |          5 |         14 |        343 |
| views\pregnant\management                                                                                                          |          1 |        206 |          4 |         10 |        220 |
| views\pregnant\patientView                                                                                                         |          3 |      1,508 |         26 |         59 |      1,593 |
| views\pregnant\patientView (Files)                                                                                                 |          2 |      1,358 |         26 |         44 |      1,428 |
| views\pregnant\patientView\components                                                                                              |          1 |        150 |          0 |         15 |        165 |
| views\report                                                                                                                       |          9 |      1,536 |          4 |         88 |      1,628 |
| views\report\generator                                                                                                             |          8 |        881 |          4 |         63 |        948 |
| views\report\generator (Files)                                                                                                     |          1 |         52 |          0 |          7 |         59 |
| views\report\generatorEchart                                                                                                       |          1 |        655 |          0 |         25 |        680 |
| views\report\generator\src                                                                                                         |          7 |        829 |          4 |         56 |        889 |
| views\report\generator\src (Files)                                                                                                 |          3 |        184 |          3 |         17 |        204 |
| views\report\generator\src\components                                                                                              |          4 |        645 |          1 |         39 |        685 |
| views\screening                                                                                                                    |         25 |     14,438 |        322 |        229 |     14,989 |
| views\screening\component                                                                                                          |         13 |      1,626 |          0 |         31 |      1,657 |
| views\screening\disease                                                                                                            |          4 |      4,303 |        179 |         47 |      4,529 |
| views\screening\management                                                                                                         |          3 |      5,576 |        123 |         77 |      5,776 |
| views\screening\patient                                                                                                            |          4 |      2,589 |         13 |         68 |      2,670 |
| views\screening\patient (Files)                                                                                                    |          3 |      2,439 |         13 |         53 |      2,505 |
| views\screening\patient\components                                                                                                 |          1 |        150 |          0 |         15 |        165 |
| views\screening\screen                                                                                                             |          1 |        344 |          7 |          6 |        357 |
| views\settings                                                                                                                     |          2 |        371 |          8 |         14 |        393 |
| views\settings\aed                                                                                                                 |          2 |        371 |          8 |         14 |        393 |
| views\stroke                                                                                                                       |         31 |      7,488 |        328 |        281 |      8,097 |
| views\stroke\QualityControlIndex                                                                                                   |          1 |        162 |          4 |          3 |        169 |
| views\stroke\bizPatient                                                                                                            |          1 |        543 |         25 |         36 |        604 |
| views\stroke\cockpit                                                                                                               |         10 |      1,623 |          5 |        105 |      1,733 |
| views\stroke\cockpit (Files)                                                                                                       |          1 |        613 |          5 |         27 |        645 |
| views\stroke\cockpit\charts                                                                                                        |          9 |      1,010 |          0 |         78 |      1,088 |
| views\stroke\component                                                                                                             |          8 |      1,160 |          0 |         32 |      1,192 |
| views\stroke\disease                                                                                                               |          1 |        324 |          5 |         14 |        343 |
| views\stroke\followupvisit                                                                                                         |          3 |      1,236 |        276 |         30 |      1,542 |
| views\stroke\management                                                                                                            |          2 |        408 |          8 |         20 |        436 |
| views\stroke\patient                                                                                                               |          3 |      1,543 |          4 |         22 |      1,569 |
| views\stroke\patient (Files)                                                                                                       |          2 |      1,393 |          4 |          7 |      1,404 |
| views\stroke\patient\components                                                                                                    |          1 |        150 |          0 |         15 |        165 |
| views\stroke\traumaVisualization                                                                                                   |          2 |        489 |          1 |         19 |        509 |
| views\system                                                                                                                       |         46 |      8,179 |        229 |        306 |      8,714 |
| views\system\bizApiToken                                                                                                           |          2 |        287 |          8 |         14 |        309 |
| views\system\configuration                                                                                                         |          2 |        323 |         21 |         17 |        361 |
| views\system\dept                                                                                                                  |          2 |        299 |          5 |          6 |        310 |
| views\system\dicApiToken                                                                                                           |          2 |        280 |          8 |         14 |        302 |
| views\system\dict                                                                                                                  |          3 |        524 |         11 |          9 |        544 |
| views\system\errorCode                                                                                                             |          2 |        247 |          9 |         13 |        269 |
| views\system\loginlog                                                                                                              |          2 |        157 |          2 |          3 |        162 |
| views\system\logo                                                                                                                  |          2 |        404 |          9 |         21 |        434 |
| views\system\menu                                                                                                                  |          1 |        445 |          4 |          3 |        452 |
| views\system\notice                                                                                                                |          2 |        256 |          8 |         14 |        278 |
| views\system\oauth2                                                                                                                |          4 |        493 |         12 |         17 |        522 |
| views\system\oauth2\client                                                                                                         |          2 |        320 |          9 |         15 |        344 |
| views\system\oauth2\token                                                                                                          |          2 |        173 |          3 |          2 |        178 |
| views\system\operatelog                                                                                                            |          2 |        207 |          3 |          2 |        212 |
| views\system\post                                                                                                                  |          2 |        246 |          8 |         15 |        269 |
| views\system\role                                                                                                                  |          2 |        865 |         19 |         35 |        919 |
| views\system\sensitiveWord                                                                                                         |          2 |        284 |          8 |         14 |        306 |
| views\system\sms                                                                                                                   |          6 |        865 |         23 |         41 |        929 |
| views\system\sms\smsChannel                                                                                                        |          2 |        283 |          9 |         15 |        307 |
| views\system\sms\smsLog                                                                                                            |          2 |        194 |          5 |          7 |        206 |
| views\system\sms\smsTemplate                                                                                                       |          2 |        388 |          9 |         19 |        416 |
| views\system\tenant                                                                                                                |          2 |        359 |          8 |         16 |        383 |
| views\system\tenantPackage                                                                                                         |          2 |        272 |          7 |         13 |        292 |
| views\system\user                                                                                                                  |          4 |      1,366 |         56 |         39 |      1,461 |
| views\trauma                                                                                                                       |         18 |      4,141 |         42 |        152 |      4,335 |
| views\trauma\QualityControlIndex                                                                                                   |          1 |        137 |          1 |          5 |        143 |
| views\trauma\cockpit                                                                                                               |          4 |        595 |         11 |         22 |        628 |
| views\trauma\cockpit (Files)                                                                                                       |          1 |        224 |         11 |          8 |        243 |
| views\trauma\cockpit\charts                                                                                                        |          3 |        371 |          0 |         14 |        385 |
| views\trauma\component                                                                                                             |          6 |        845 |          0 |         23 |        868 |
| views\trauma\disease                                                                                                               |          1 |        324 |          5 |         14 |        343 |
| views\trauma\management                                                                                                            |          1 |        206 |          4 |         10 |        220 |
| views\trauma\patient                                                                                                               |          3 |      1,536 |         20 |         58 |      1,614 |
| views\trauma\patient (Files)                                                                                                       |          2 |      1,386 |         20 |         43 |      1,449 |
| views\trauma\patient\components                                                                                                    |          1 |        150 |          0 |         15 |        165 |
| views\trauma\traumaVisualization                                                                                                   |          2 |        498 |          1 |         20 |        519 |
| views\visualization                                                                                                                |          1 |         12 |          0 |          2 |         14 |
| views\visualization\jmreport                                                                                                       |          1 |         12 |          0 |          2 |         14 |
+------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                                                           | language       | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\App.vue                                                                                   | vue            |         60 |          0 |         13 |         73 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\BizAssessment\index.ts                                                                | TypeScript     |         83 |          9 |          8 |        100 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\BizAssessment\types.ts                                                                | TypeScript     |        276 |          0 |         51 |        327 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\BizPatient\index.ts                                                                   | TypeScript     |         23 |          6 |          8 |         37 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\BizPatient\types.ts                                                                   | TypeScript     |         81 |          0 |          3 |         84 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\Consult\index.ts                                                                      | TypeScript     |         23 |          7 |          1 |         31 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\MedicalQuality\index.ts                                                               | TypeScript     |         57 |         14 |          3 |         74 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\MedicalQuality\type.ts                                                                | TypeScript     |          6 |          0 |          1 |          7 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\Platform-Big-Data\index.ts                                                            | TypeScript     |         11 |         11 |          2 |         24 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\PlatformBigData\index.ts                                                              | TypeScript     |        192 |         34 |          6 |        232 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\Pre\index.ts                                                                          | TypeScript     |         11 |          2 |          2 |         15 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\bizIntervention\index.ts                                                              | TypeScript     |         21 |          6 |          8 |         35 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\bizIntervention\types.ts                                                              | TypeScript     |        225 |          0 |          3 |        228 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\bizTaskWristband\index.ts                                                             | TypeScript     |          8 |          2 |          3 |         13 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\bpm\form\index.ts                                                                     | TypeScript     |         36 |          6 |          7 |         49 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\bpm\form\types.ts                                                                     | TypeScript     |          9 |          0 |          1 |         10 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\bpm\leave\index.ts                                                                    | TypeScript     |         12 |          3 |          4 |         19 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\bpm\leave\types.ts                                                                    | TypeScript     |         10 |          0 |          1 |         11 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\bpm\model\index.ts                                                                    | TypeScript     |         28 |          1 |          8 |         37 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\bpm\model\types.ts                                                                    | TypeScript     |         22 |          0 |          2 |         24 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\bpm\processInstance\index.ts                                                          | TypeScript     |         19 |          0 |          5 |         24 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\bpm\processInstance\types.ts                                                          | TypeScript     |         18 |          0 |          1 |         19 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\bpm\taskAssignRule\index.ts                                                           | TypeScript     |         18 |          0 |          4 |         22 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\bpm\taskAssignRule\types.ts                                                           | TypeScript     |          9 |          0 |          1 |         10 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\bpm\task\index.ts                                                                     | TypeScript     |         28 |          0 |          9 |         37 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\bpm\task\types.ts                                                                     | TypeScript     |         36 |          0 |          4 |         40 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\bpm\userGroup\index.ts                                                                | TypeScript     |         27 |          6 |          7 |         40 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\bpm\userGroup\types.ts                                                                | TypeScript     |          9 |          0 |          1 |         10 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\cdr\bizFollowPlan\index.ts                                                            | TypeScript     |         36 |         10 |          9 |         55 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\cdr\bizFollowPlan\types.ts                                                            | TypeScript     |         60 |          0 |          3 |         63 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\cdr\bizPatientVisitConfirm\index.ts                                                   | TypeScript     |         21 |          6 |          8 |         35 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\cdr\bizPatientVisitConfirm\types.ts                                                   | TypeScript     |         39 |          0 |          3 |         42 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\cdr\bizPatientVisit\index.ts                                                          | TypeScript     |         79 |         20 |         10 |        109 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\cdr\bizPatientVisit\types.ts                                                          | TypeScript     |        178 |          0 |          3 |        181 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\cdr\dicKpi\index.ts                                                                   | TypeScript     |         24 |          7 |          8 |         39 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\cdr\dicKpi\types.ts                                                                   | TypeScript     |         45 |          0 |          3 |         48 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\cdr\dicParagraphElement\index.ts                                                      | TypeScript     |         46 |         10 |          9 |         65 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\cdr\dicParagraphElement\types.ts                                                      | TypeScript     |         27 |          0 |          3 |         30 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\cdr\dicParagraph\index.ts                                                             | TypeScript     |         24 |         17 |          9 |         50 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\cdr\dicParagraph\types.ts                                                             | TypeScript     |         24 |          0 |          4 |         28 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\cdr\dicPghElementCondition\index.ts                                                   | TypeScript     |         36 |          8 |         10 |         54 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\cdr\dicPghElementCondition\types.ts                                                   | TypeScript     |         30 |          0 |          3 |         33 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\cdr\dicSection\index.ts                                                               | TypeScript     |         30 |          9 |         10 |         49 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\cdr\dicSection\types.ts                                                               | TypeScript     |         31 |          0 |          4 |         35 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\cdr\resHospitalMedical\index.ts                                                       | TypeScript     |         28 |          7 |          9 |         44 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\cdr\resHospitalMedical\types.ts                                                       | TypeScript     |        192 |          0 |          3 |        195 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\codegen\dicTemplate\index.ts                                                          | TypeScript     |         24 |          7 |          7 |         38 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\codegen\dicTemplate\types.ts                                                          | TypeScript     |         30 |          0 |          3 |         33 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\dashboard\index.ts                                                                    | TypeScript     |         14 |          4 |          4 |         22 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\echarts\index.ts                                                                      | TypeScript     |        223 |         23 |          6 |        252 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\ecqm\bizPathCompare\index.ts                                                          | TypeScript     |         16 |          4 |          6 |         26 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\ecqm\bizPatientVisit\index.ts                                                         | TypeScript     |        169 |         28 |         31 |        228 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\ecqm\bizPatientVisit\types.ts                                                         | TypeScript     |        127 |          0 |          3 |        130 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\ecqm\bizRfidReaderLog\index.ts                                                        | TypeScript     |         21 |          6 |          8 |         35 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\ecqm\bizRfidReaderLog\types.ts                                                        | TypeScript     |         63 |          0 |          3 |         66 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\ecqm\dicClinicalAlert\index.ts                                                        | TypeScript     |         24 |          7 |          9 |         40 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\ecqm\dicClinicalAlert\types.ts                                                        | TypeScript     |         47 |          0 |          3 |         50 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\ecqm\dicClinicalEventGroup\index.ts                                                   | TypeScript     |         25 |          6 |          8 |         39 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\ecqm\dicClinicalEventGroup\types.ts                                                   | TypeScript     |         21 |          0 |          3 |         24 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\ecqm\dicClinicalEvent\index.ts                                                        | TypeScript     |         24 |          7 |          9 |         40 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\ecqm\dicClinicalEvent\types.ts                                                        | TypeScript     |         57 |          0 |          3 |         60 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\ecqm\dicClinicalMessage\index.ts                                                      | TypeScript     |         31 |          8 |          8 |         47 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\ecqm\dicClinicalMessage\types.ts                                                      | TypeScript     |         81 |          0 |          3 |         84 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\ecqm\dicClinicalPathRfidCommand\index.ts                                              | TypeScript     |         32 |          6 |          8 |         46 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\ecqm\dicClinicalPathRfidCommand\types.ts                                              | TypeScript     |         54 |          0 |          3 |         57 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\ecqm\dicClinicalPath\index.ts                                                         | TypeScript     |         27 |          8 |          9 |         44 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\ecqm\dicClinicalPath\types.ts                                                         | TypeScript     |         85 |          0 |          3 |         88 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\ecqm\dicMtMessage\index.ts                                                            | TypeScript     |         21 |          6 |          8 |         35 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\ecqm\dicMtMessage\types.ts                                                            | TypeScript     |         21 |          0 |          3 |         24 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\ecqm\dicMtReceivergroup\index.ts                                                      | TypeScript     |         32 |         11 |          3 |         46 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\ecqm\dicObservation\index.ts                                                          | TypeScript     |         21 |          6 |          8 |         35 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\ecqm\dicObservation\types.ts                                                          | TypeScript     |         36 |          0 |          3 |         39 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\ecqm\dicObservationtype\index.ts                                                      | TypeScript     |         91 |         25 |         26 |        142 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\ecqm\dicObservationtype\types.ts                                                      | TypeScript     |         26 |          0 |          3 |         29 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\ecqm\dicSuggestionRule\index.ts                                                       | TypeScript     |         25 |          6 |          8 |         39 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\ecqm\dicSuggestionRule\types.ts                                                       | TypeScript     |         27 |          0 |          3 |         30 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\ecqm\dicTimingRule\index.ts                                                           | TypeScript     |         21 |          6 |          8 |         35 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\ecqm\dicTimingRule\types.ts                                                           | TypeScript     |         29 |          0 |          3 |         32 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\ecqm\dicTreatmentSuit\index.ts                                                        | TypeScript     |         21 |          6 |          8 |         35 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\ecqm\dicTreatmentSuit\types.ts                                                        | TypeScript     |         23 |          0 |          3 |         26 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\ecqm\dicTreatmentType\index.ts                                                        | TypeScript     |         41 |         10 |         10 |         61 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\ecqm\dicTreatmentType\types.ts                                                        | TypeScript     |         16 |          0 |          3 |         19 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\ecqm\result\index.ts                                                                  | TypeScript     |          8 |          2 |          2 |         12 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\error\index.ts                                                                        | TypeScript     |          5 |          1 |          2 |          8 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\externalpage\connect\index.ts                                                         | TypeScript     |         31 |         20 |          2 |         53 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\externalpage\phmMdt\index.ts                                                          | TypeScript     |         11 |          3 |          2 |         16 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\externalpage\preview\index.ts                                                         | TypeScript     |         22 |          4 |          3 |         29 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\infra\apiAccessLog\index.ts                                                           | TypeScript     |          8 |          2 |          4 |         14 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\infra\apiAccessLog\types.ts                                                           | TypeScript     |         14 |          0 |          1 |         15 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\infra\apiErrorLog\index.ts                                                            | TypeScript     |         16 |          3 |          5 |         24 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\infra\apiErrorLog\types.ts                                                            | TypeScript     |         17 |          0 |          1 |         18 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\infra\codegen\index.ts                                                                | TypeScript     |         36 |         11 |         13 |         60 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\infra\codegen\types.ts                                                                | TypeScript     |         60 |          0 |          2 |         62 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\infra\config\index.ts                                                                 | TypeScript     |         24 |          7 |          9 |         40 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\infra\config\types.ts                                                                 | TypeScript     |         11 |          0 |          1 |         12 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\infra\dataSourceConfig\index.ts                                                       | TypeScript     |         21 |          6 |          6 |         33 |
